siren_amenageur,contact_amenageur,contact_operateur,nom_enseigne,id_station_itinerance,nom_station,implantation_station,adresse_station,code_insee_commune,coordonneesXY,nbre_pdc,id_pdc_itinerance,puissance_nominale,prise_type_ef,prise_type_2,prise_type_combo_ccs,prise_type_chademo,prise_type_autre,gratuit,paiement_acte,paiement_cb,paiement_autre,condition_acces,reservation,horaires,accessibilite_pmr,restriction_gabarit,station_deux_roues,raccordement,num_pdl,date_mise_en_service,date_maj,last_modified,resource_id,nom_amenageur,nom_operateur,telephone_operateur,id_station_local,id_pdc_local,tarification,observations
839265873,info@rossinienergy.com,info@rossinienergy.com,RossiniEnergy,FRROSE100,Maison_Medical_Seclin,Parking privé à usage public,"14B Rue Phillippe de Girard, 59113 Seclin, France",59560,"[ 50.5481770,3.0298670]",2,FRROSE1002,22,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,Accès libre,FALSE,24/7,Accessible mais non réservé PMR,3m,FALSE,Indirect,01305933314521,2021-06-17,2021-09-01,2021-09-01T12:23:43.146000,71251221-21d8-4d7e-90d6-0fde5c1af96b,RossiniEnergy,RossiniEnergy,374090105,,,,
839265873,info@rossinienergy.com,info@rossinienergy.com,RossiniEnergy,FRROSE50,renault seclin B,Parking privé à usage public,15 Route de Lille,59560,"[50.5264980,1.5960600]",3,FRROSE503,22,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Accès libre,FALSE,24/7,Accessible mais non réservé PMR,3m,FALSE,Indirect,3.00E+13,2021-02-22,2021-07-05,2021-09-01T12:23:43.146000,71251221-21d8-4d7e-90d6-0fde5c1af96b,RossiniEnergy,RossiniEnergy,374090105,,,,
839265873,info@rossinienergy.com,info@rossinienergy.com,RossiniEnergy,FRROSE107,Ariston,Parking privé à usage public,"4 et 8 Grande Rue, 51170 Brouillet",51089,"[ 49.2257420,3.7388840]",6,FRROSE1076,22,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,Accès libre,FALSE,24/7,Accessible mais non réservé PMR,3m,FALSE,Indirect,50068254646873,2021-06-28,2021-08-10,2021-09-01T12:23:43.146000,71251221-21d8-4d7e-90d6-0fde5c1af96b,RossiniEnergy,RossiniEnergy,374090105,,,,
839265873,info@rossinienergy.com,info@rossinienergy.com,RossiniEnergy,FRROSE84,moreaux_epinoy,Parking privé à usage public,"1 rue de la Mairie, 62860 Epinoy, France",62298,"[ 50.2304620,3.1610000]",2,FRROSE842,22,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,Accès libre,FALSE,24/7,Accessible mais non réservé PMR,3m,FALSE,Indirect,1332127312566,2021-05-07,2021-08-10,2021-09-01T12:23:43.146000,71251221-21d8-4d7e-90d6-0fde5c1af96b,RossiniEnergy,RossiniEnergy,374090105,,,,
839265873,info@rossinienergy.com,info@rossinienergy.com,RossiniEnergy,FRROSE100,Maison_Medical_Seclin,Parking privé à usage public,"14B Rue Phillippe de Girard, 59113 Seclin, France",59560,"[ 50.5481770,3.0298670]",2,FRROSE1001,22,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,Accès libre,FALSE,24/7,Accessible mais non réservé PMR,3m,FALSE,Indirect,01305933314521,2021-06-17,2021-09-01,2021-09-01T12:23:43.146000,71251221-21d8-4d7e-90d6-0fde5c1af96b,RossiniEnergy,RossiniEnergy,374090105,,,,
839265873,info@rossinienergy.com,info@rossinienergy.com,RossiniEnergy,FRROSE113,2JV_Emballage,Parking privé à usage public,"400 Rue des Galeries, 59286 Roost-Warendin",59509,"[ 50.4115190,3.1004810]",2,FRROSE1132,22,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Accès libre,FALSE,24/7,Accessible mais non réservé PMR,3m,FALSE,Indirect,01311287871924,2021-08-03,2021-09-01,2021-09-01T12:23:43.146000,71251221-21d8-4d7e-90d6-0fde5c1af96b,RossiniEnergy,RossiniEnergy,374090105,,,,
839265873,info@rossinienergy.com,info@rossinienergy.com,RossiniEnergy,FRROSE113,2JV_Emballage,Parking privé à usage public,"400 Rue des Galeries, 59286 Roost-Warendin",59509,"[ 50.4115190,3.1004810]",2,FRROSE1131,22,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Accès libre,FALSE,24/7,Accessible mais non réservé PMR,3m,FALSE,Indirect,01311287871924,2021-08-03,2021-09-01,2021-09-01T12:23:43.146000,71251221-21d8-4d7e-90d6-0fde5c1af96b,RossiniEnergy,RossiniEnergy,374090105,,,,
839265873,info@rossinienergy.com,info@rossinienergy.com,RossiniEnergy,FRROSE131,Garage_Peugeot_Annoeulin,Parking privé à usage public,"71, rue Nationale 59112 Annoeullin",59011,"[ 50.5260430,2.9351660]",1,FRROSE1311,22,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Accès libre,FALSE,24/7,Accessible mais non réservé PMR,3m,FALSE,Indirect,01324891381161,2021-08-09,2021-09-01,2021-09-01T12:23:43.146000,71251221-21d8-4d7e-90d6-0fde5c1af96b,RossiniEnergy,RossiniEnergy,374090105,,,,
839265873,info@rossinienergy.com,info@rossinienergy.com,RossiniEnergy,FRROSE19,blancheporte,Parking privé à usage public,"22 Rue de la Blanche Porte, 59200 Tourcoing",59599,"[ 50.7182500,3.1522220]",6,FRROSE196,22,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,Accès libre,FALSE,24/7,Accessible mais non réservé PMR,3m,FALSE,Indirect,30000110633490,2020-11-19,2021-08-23,2021-09-01T12:23:43.146000,71251221-21d8-4d7e-90d6-0fde5c1af96b,RossiniEnergy,RossiniEnergy,374090105,,,,
839265873,info@rossinienergy.com,info@rossinienergy.com,RossiniEnergy,FRROSE19,blancheporte,Parking privé à usage public,"22 Rue de la Blanche Porte, 59200 Tourcoing",59599,"[ 50.7182500,3.1522220]",6,FRROSE195,22,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,Accès libre,FALSE,24/7,Accessible mais non réservé PMR,3m,FALSE,Indirect,30000110633490,2020-11-19,2021-08-23,2021-09-01T12:23:43.146000,71251221-21d8-4d7e-90d6-0fde5c1af96b,RossiniEnergy,RossiniEnergy,374090105,,,,
